label,samples,duration_s,rmse_position,mean_position_error,max_position_error,final_position_error,rmse_x,rmse_y,rmse_z,dvl_match_rate,mag_match_rate,sonar_up_match_rate,sonar_down_match_rate,sonar_left_match_rate,sonar_right_match_rate,rmse_sonar_up_residual,rmse_sonar_down_residual,rmse_sonar_left_residual,rmse_sonar_right_residual
Baseline,279,69.5,0.11539404962242594,0.10318867812159818,0.1928657672462638,0.1638842159438513,0.047539824243275366,0.1035182021172292,0.018431864517673684,1.0,1.0,0.0,0.0,0.0,0.0,,,,
Baseline + Sonar,279,69.5,0.05193316578480985,0.0454541599123584,0.1044641632818164,0.0631511338171263,0.0472700142913773,0.008407560035880557,0.019796777302596446,1.0,1.0,1.0,1.0,1.0,1.0,0.026873724231261442,0.030306646827665266,0.017727579091616576,0.01803326867674593
