time,gt_x,gt_y,gt_z,slam_x,slam_y,slam_z,err_x,err_y,err_z,position_error_norm,dvl_matched,dvl_time_diff,dvl_residual_x,dvl_residual_y,dvl_residual_z,yaw_error,depth_residual,mag_residual,mag_matched,mag_time_diff,mag_yaw_measured,sonar_up_matched,sonar_down_matched,sonar_left_matched,sonar_right_matched,sonar_up_residual,sonar_down_residual,sonar_left_residual,sonar_right_residual,sonar_up_range,sonar_down_range,sonar_left_range,sonar_right_range
4.005,0.796,0.214007,0.112328,0.761936,0.208052,0.133145,-0.0340638,-0.00595482,0.0208165,0.0403624704883435,1,0.085,0.0386818,-0.00393927,0.000445267,-0.00157739,,0.0117564,1,0.005,0.0646459,1,1,1,1,-0.0265262,-0.0107361,0.000797284,-0.0121696,2.39476,2.62807,2.28878,2.7304
4.255,0.844,0.223788,0.118196,0.815603,0.228314,0.198593,-0.0283973,0.00452622,0.0803968,0.08538465181177704,1,0.035,-0.0104255,0.0158883,-0.0188829,-0.000319583,,0.00331592,1,0.015,0.0775589,1,1,1,1,-0.107488,0.0746788,-0.00296597,-0.025815,2.40921,2.60557,2.26627,2.76439
4.505,0.896,0.233798,0.124379,0.867319,0.224858,0.121817,-0.028681,-0.00893994,-0.00256226,0.030151077335829977,1,0.085,-0.00132911,-0.0177546,-0.00824602,-0.000305196,,0.00478447,1,0.005,0.0816582,1,1,1,1,-0.0245352,0.00138252,-0.0169132,0.00681047,2.40432,2.60243,2.29224,2.7309
4.755,0.944,0.242475,0.129918,0.91569,0.244647,0.145232,-0.0283103,0.00217194,0.0153138,0.032259926842657285,1,0.035,0.0160063,-0.00236156,-0.0300589,-0.00295617,,0.0163322,1,0.015,0.0747747,1,1,1,1,-0.0394306,-0.00224539,0.0275634,-0.00601202,2.39471,2.62692,2.22605,2.76391
5.005,0.996,0.251241,0.135728,0.962251,0.256192,0.139703,-0.0337491,0.0049505,0.00397495,0.03434107494768473,1,0.085,0.015595,-0.00835886,-0.0318493,-0.0050069,,0.00215025,1,0.005,0.0905479,1,1,1,1,0.00746372,0.0320401,0.0102142,0.00871146,2.35293,2.58541,2.2328,2.76153
5.255,1.044,0.258728,0.140906,1.01298,0.26698,0.133744,-0.031018,0.0082518,-0.007162,0.032886209438608156,1,0.035,0.00149141,0.0102905,-0.014005,-0.00484415,,0.00059256,1,0.015,0.0944188,1,1,1,1,0.0261243,-0.0395283,0.00494789,-0.0051621,2.33986,2.6495,2.22863,2.78743
5.505,1.096,0.266162,0.14631,1.0712,0.278876,0.169862,-0.0248014,0.0127142,0.0235525,0.036489458475702265,1,0.085,-0.0177689,0.00525331,-0.0300911,-0.00552389,,-0.00679428,1,0.005,0.106015,1,1,1,1,-0.0339826,0.0152524,0.00791411,0.000219515,2.36311,2.62906,2.21071,2.79482
5.755,1.144,0.272384,0.151099,1.12443,0.27787,0.168176,-0.0195697,0.005486,0.0170774,0.026546316973358092,1,0.035,0.00265987,-0.000727719,-0.0171438,-0.00458436,,-0.00357342,1,0.015,0.106628,1,1,1,1,-0.0344631,0.0131521,-0.0168944,0.00574749,2.36576,2.62955,2.23761,2.78988
6.005,1.196,0.278412,0.156065,1.17841,0.291684,0.145585,-0.0175932,0.0132721,-0.0104799,0.024402820096456064,1,0.085,0.00175008,-0.0162127,-0.00608585,-0.00681873,,-0.00591753,1,0.005,0.113785,1,1,1,1,0.0151782,-0.00584417,0.0242715,0.0051795,2.33784,2.62413,2.18555,2.80507
6.255,1.244,0.283306,0.160438,1.23297,0.281586,0.189725,-0.0110321,-0.00172004,0.0292865,0.03134270011121569,1,0.035,0.00248508,-0.00389572,0.00835101,-0.0100242,,0.00409494,1,0.015,0.105888,1,1,1,1,-0.0274452,0.0126976,-0.00326111,0.0402098,2.33726,2.65091,2.21818,2.75981
6.505,1.296,0.287867,0.16494,1.28244,0.281305,0.175395,-0.0135635,-0.00656241,0.0104545,0.018339310987823397,1,0.085,0.0190043,0.00800095,-0.00709172,-0.00792727,,-0.00925338,1,0.005,0.119784,1,1,1,1,-0.00996291,0.0146172,-0.016045,-0.0117019,2.33422,2.63497,2.23443,2.81357
6.755,1.344,0.291385,0.168873,1.327,0.284055,0.153382,-0.0169999,-0.0073299,-0.0154907,0.024138886066055323,1,0.035,0.0299813,-0.0127847,-0.0161495,-0.00757913,,-0.010573,1,0.015,0.127225,1,1,1,1,0.0273548,-0.0532395,0.0118226,-0.00375532,2.31869,2.68074,2.20737,2.80982
7.005,1.396,0.294435,0.172885,1.3746,0.282629,0.194604,-0.0214016,-0.0118062,0.0217197,0.03269801536928503,1,0.085,0.0139649,0.00695161,0.0248152,-0.00677851,,-0.000216651,1,0.005,0.121044,1,1,1,1,0.0153039,0.00474928,-0.00892394,-0.00692595,2.28924,2.66429,2.2261,2.81254
7.255,1.444,0.296541,0.176354,1.42743,0.283159,0.189367,-0.0165736,-0.0133825,0.0130133,0.024962401729400962,1,0.035,-0.00881848,-0.0273935,0.0240145,-0.00597735,,-0.00910314,1,0.015,0.134692,1,1,1,1,-0.0383833,0.0387227,-0.00294565,-0.00742663,2.34791,2.62545,2.22157,2.81505
7.505,1.496,0.298048,0.179854,1.47642,0.292532,0.188941,-0.0195788,-0.00551678,0.00908774,0.022278942733352496,1,0.085,0.0107708,-0.0040281,-0.0130852,-0.0046861,,-0.0124833,1,0.005,0.1425,1,1,1,1,-0.0032102,-0.011843,0.0142497,-0.0252515,2.312,2.67467,2.19671,2.84394
7.755,1.544,0.298722,0.18284,1.52697,0.294399,0.176549,-0.0170307,-0.00432333,-0.00629135,0.01866325292121928,1,0.035,-0.00153956,-0.049556,-0.00508832,-0.00261459,,0.0180818,1,0.015,0.116942,1,1,1,1,-0.00959682,-0.0414694,-0.0139215,-0.027909,2.3303,2.69218,2.22627,2.85059
8.005,1.596,0.298672,0.185808,1.57993,0.300194,0.145311,-0.0160684,0.00152232,-0.0404972,0.043595116063412424,1,0.085,0.000642948,0.0232498,0.0245542,-0.00637394,,0.00418721,1,0.005,0.136426,1,1,1,1,0.0204402,-0.0115965,0.0344026,0.0112815,2.33074,2.63072,2.17563,2.8174
8.255,1.644,0.297906,0.188295,1.63422,0.302545,0.172456,-0.00978188,0.00463879,-0.015839,0.019185345188411387,1,0.035,-0.00873406,-0.0407251,-0.00133701,-0.00670056,,-0.0150054,1,0.015,0.155445,1,1,1,1,0.00318304,-0.0515431,0.0167499,0.00189883,2.32001,2.69787,2.18921,2.82973
8.505,1.696,0.296299,0.190714,1.68801,0.305939,0.220794,-0.00798867,0.00963991,0.0300803,0.032581761175034724,1,0.085,0.00584658,0.0242924,-0.0174586,-0.00602589,,-0.0195375,1,0.005,0.162786,1,1,1,1,-0.0688119,0.0252654,0.00552156,-0.0103118,2.3425,2.66932,2.19293,2.84524
8.755,1.744,0.294102,0.192688,1.73561,0.298108,0.196201,-0.00838852,0.00400554,0.00351208,0.00993711851637083,1,0.035,0.0195259,-0.0118569,0.0208612,-0.00559332,,-0.00611931,1,0.015,0.153394,1,1,1,1,-0.0091093,-0.0579724,-0.0055525,0.00915824,2.30772,2.72966,2.21628,2.81994
9.005,1.796,0.290954,0.194545,1.78573,0.300304,0.213774,-0.0102706,0.00934936,0.0192298,0.023720897217634915,1,0.085,0.0114745,0.00656683,-0.00802332,-0.00230346,,-0.0235639,1,0.005,0.17434,1,1,1,1,-0.0190829,0.0164851,-0.0117124,-0.0267155,2.29907,2.67308,2.22073,2.85977
